image,caption
2513260012_03d33305cf,black dog running after white dog in snow
2513260012_03d33305cf,black dog chasing brown dog through snow
2513260012_03d33305cf,two dogs chase each other across snowy ground
2513260012_03d33305cf,two dogs play together in snow
2513260012_03d33305cf,two dogs running through low lying body of water
2903617548_d3e38d7f88,little baby plays croquet
2903617548_d3e38d7f88,little girl plays croquet next to truck
2903617548_d3e38d7f88,child playing croquette by truck
2903617548_d3e38d7f88,kid in front of car with put and ball
2903617548_d3e38d7f88,little boy playing with croquet hammer and ball beside car
3338291921_fe7ae0c8f8,brown dog in snow has something hot pink in mouth
3338291921_fe7ae0c8f8,brown dog in snow holding pink hat
3338291921_fe7ae0c8f8,brown dog holding pink shirt in snow
3338291921_fe7ae0c8f8,dog carrying something pink in mouth while walking through snow
3338291921_fe7ae0c8f8,dog with something pink in mouth looking forward
488416045_1c6d903fe0,brown dog running along beach
488416045_1c6d903fe0,brown dog wearing black collar running across beach
488416045_1c6d903fe0,dog walks on sand near water
488416045_1c6d903fe0,brown dog running on beach
488416045_1c6d903fe0,large brown dog running on beach by ocean
2644326817_8f45080b87,black and white dog with red frisbee standing on sandy beach
2644326817_8f45080b87,dog drops red disc on beach
2644326817_8f45080b87,dog with red frisbee flying in air
2644326817_8f45080b87,dog catching red frisbee
2644326817_8f45080b87,black dog dropping red disc on beach
218342358_1755a9cce1,cyclist wearing red helmet riding on pavement
218342358_1755a9cce1,girl riding bike on street while wearing red helmet
218342358_1755a9cce1,person on bike wearing red helmet riding down street
218342358_1755a9cce1,woman wears red helmet and blue shirt as she goes for bike ride in shade
218342358_1755a9cce1,person in blue shirt and red helmet riding bike down road
2501968935_02f2cd8079,man dressed in purple shirt and red bandanna smiles at people watching him
2501968935_02f2cd8079,man on street wearing leather chaps and chainmail codpiece
2501968935_02f2cd8079,man wearing purple shirt and black leather chaps poses for camera
2501968935_02f2cd8079,man dressed in leather chaps and purple shirt stands in front of onlookers
2501968935_02f2cd8079,there man in purple shirt leather chaps and red bandanna standing near other men
2699342860_5288e203ea,boy wearing red tshirt running through woodland
2699342860_5288e203ea,child runs near some trees
2699342860_5288e203ea,young boy dancing around
2699342860_5288e203ea,young boy with red short sleeved shirt and jeans runs by some trees
2699342860_5288e203ea,little boy in red shirt stops to smile for camera
2638369467_8fc251595b,girl in white dress
2638369467_8fc251595b,little girl in white looking back at camera while carrying water grenade
2638369467_8fc251595b,smiling young girl in braids playing ball
2638369467_8fc251595b,young girl wearing white looks at camera as she plays
2638369467_8fc251595b,girl holding green ball
2926786902_815a99a154,skier in yellow jacket airborne above mountains
2926786902_815a99a154,skier jumps high in air with view of mountains
2926786902_815a99a154,skiing man in fluorescent jacket jumps very high and it looks as though he flying
2926786902_815a99a154,somone high in air doing ski jump
2926786902_815a99a154,skier in green jacket and white pants appears to almost fly into sky
2851304910_b5721199bc,photographer looks over hills
2851304910_b5721199bc,woman in red jacket videotaping natural landscape
2851304910_b5721199bc,woman with camera looks out over rolling hills
2851304910_b5721199bc,woman with camera on tripod looking at view
2851304910_b5721199bc,lady in red shirt has camera set up in field to record something
3423802527_94bd2b23b0,bunch of girls in cheerleader outfits
3423802527_94bd2b23b0,large group of cheerleaders walking in parade
3423802527_94bd2b23b0,cheerleaders perform
3423802527_94bd2b23b0,many cheerleaders wearing black walk down street
3423802527_94bd2b23b0,parade of cheerleaders wearing black pink and white uniforms
3356369156_074750c6cc,blue boat with yellow canopy floating on calm waters
3356369156_074750c6cc,boat in water
3356369156_074750c6cc,boat with roof on green water
3356369156_074750c6cc,boat in middle of water
3356369156_074750c6cc,solitude boat floats on lake
2294598473_40637b5c04,dog catches frisbee in midair
2294598473_40637b5c04,dog catching frisbee
2294598473_40637b5c04,terrier mix catches frisbee in air
2294598473_40637b5c04,white and black dog catching frisbee
2294598473_40637b5c04,white dog leaping in air with green object in mouth
1191338263_a4fa073154,little old lady sitting next to advertisement
1191338263_a4fa073154,asian woman waiting at underground train stop
1191338263_a4fa073154,old woman sits in transit station next to backlit advertisement
1191338263_a4fa073154,woman sits in subway station
1191338263_a4fa073154,woman with umbrella sitting at station with aquos commercial on wall
2380765956_6313d8cae3,blond girl wearing green jacket walks on trail along side metal fence
2380765956_6313d8cae3,girl in green coat walks down rural road playing flute
2380765956_6313d8cae3,young girl in parka playing flute while walking by fenced in field
2380765956_6313d8cae3,girl in green and blue jacket walking past enclosed field
2380765956_6313d8cae3,girl playing flute as she walks by fence in rural area
3197891333_b1b0fd1702,family of nine people including four children pose in front of brick fireplace with white mantle
3197891333_b1b0fd1702,family poses in front of fireplace and christmas tree
3197891333_b1b0fd1702,family posing by mantle and christmas tree
3197891333_b1b0fd1702,happy family poses by fireplace
3197891333_b1b0fd1702,two couples and four kids pose for family picture
3119887967_271a097464,man in sweater pointing at camera
3119887967_271a097464,one man posing with arms outstretched and finger pointed while another stares from behind him
3119887967_271a097464,man in black hat stands behind man who pointing finger
3119887967_271a097464,two men look toward camera while one in front points index finger
3119887967_271a097464,two men one wearing black hat while one in front points standing in hallway
2276499757_b44dc6f8ce,dog looks warily at brown dog investigating area
2276499757_b44dc6f8ce,large brown dog looking at medium sized black dog
2276499757_b44dc6f8ce,small black dog looks at larger brown dog in grassy field
2276499757_b44dc6f8ce,big brown dog looks at small black dog in tall grass
2276499757_b44dc6f8ce,there big dog looking at little dog
2506892928_7e79bec613,three children in field with white flowers
2506892928_7e79bec613,three children one with stuffed kitten in field of flowers
2506892928_7e79bec613,three children play in garden
2506892928_7e79bec613,three children pose among wildflowers
2506892928_7e79bec613,three kids palying with toy cat in garden
2187222896_c206d63396,boy in red shirt in front of long blue wall raises eyebrow at camera
2187222896_c206d63396,boy in red shirt with stripes standing near blue brick wall with handicap signs
2187222896_c206d63396,african american boy stands in front of blue building in handicapped space
2187222896_c206d63396,boy in orange shirt looks backwards
2187222896_c206d63396,boy in red shirt next to blue wall
2826769554_85c90864c9,brown dog carrying wet stick on shore of ocean
2826769554_85c90864c9,dog bounds across sandy beach with stick in mouth and water splashing off paws
2826769554_85c90864c9,wet blond dog carries stick on shore
2826769554_85c90864c9,dog running along beach next to ocean with stick in mouth
2826769554_85c90864c9,wet brown dog has stick in mouth and running in sand next to water
3097196395_ec06075389,two dogs racing on ractrack
3097196395_ec06075389,two dogs race across track
3097196395_ec06075389,two greyhounds race
3097196395_ec06075389,two greyhounds with muzzles race along inside curb of railed dirt track
3097196395_ec06075389,two racing dogs run around track
3603116579_4a28a932e2,baseball pitcher with shelton on shirt throws ball
3603116579_4a28a932e2,baseball player in black and orange shirt and with glove on pitches ball
3603116579_4a28a932e2,male dressed in sports outfit tries to catch baseball
3603116579_4a28a932e2,man playing baseball
3603116579_4a28a932e2,baseball player running after ball
3339263085_6db9fd0981,brown dog wades through water and walks toward rock
3339263085_6db9fd0981,dog has waded through shallow water to reach rock outcropping
3339263085_6db9fd0981,light brown dog splashing in water with paw
3339263085_6db9fd0981,small brown dog about ready to exit water after swim
3339263085_6db9fd0981,yellow dog in shallow water
2532262109_87429a2cae,group of girls in school uniforms standing together and waiting to cross street while one girl takes picture
2532262109_87429a2cae,group of people standing together outside as one takes photograph
2532262109_87429a2cae,group of school girls standing together while one taking pictures
2532262109_87429a2cae,group of young women stand together
2532262109_87429a2cae,girls in school uniforms
2076906555_c20dc082db,boy wearing jean jacket with hand on chest smiling at camera
2076906555_c20dc082db,boy with bruised nose and writing on hands standing in video rental store
2076906555_c20dc082db,boy with writing on hand standing in store
2076906555_c20dc082db,young man in jean jacket smiles for camera inside store
2076906555_c20dc082db,young man with denim jacket and writing on hand smiles in front of bookcase full of videos
2502007071_82a8c639cf,group of people in front of house
2502007071_82a8c639cf,man in stripes woman in sunglasses and child in blue hat in front of brick building
2502007071_82a8c639cf,woman in sunglasses and blue flowered shirt stands while boy and man sit nearby
2502007071_82a8c639cf,woman wearing sunglasses and flowered shirt looks to left
2502007071_82a8c639cf,three adults and one child waiting outside of building perhaps school
3113769557_9edbb8275c,woman stands in front of display case and another woman looks at digital camera
3113769557_9edbb8275c,woman stands tall in front of glass display while another woman takes picture of something
3113769557_9edbb8275c,woman stands with arms out at sides while another takes picture
3113769557_9edbb8275c,woman stands with arms out in store while another woman holds camera
3113769557_9edbb8275c,one woman taking picture and another woman standing sideways with arm out
3325974730_3ee192e4ff,snowboarder jumps high into air off of snowy ramp
3325974730_3ee192e4ff,snowboarder jumps off ramp
3325974730_3ee192e4ff,man on snowboard performing trick high in air
3325974730_3ee192e4ff,person in purple coat making jump on snowboard
3325974730_3ee192e4ff,snowboarder jumps off high ramp over icy landscape
1655781989_b15ab4cbff,group of mountain climbers
1655781989_b15ab4cbff,group of people walking in line through snow toward mountain
1655781989_b15ab4cbff,line of people making way through snow covered mountains
1655781989_b15ab4cbff,people walking through snow covered field with mountain background
1655781989_b15ab4cbff,people facing mountains in snow
1662261486_db967930de,black and white dog jumping through black and white hoop
1662261486_db967930de,black and white dog jumps through black and white hoop
1662261486_db967930de,brown and white dog jumping through black and white hoop
1662261486_db967930de,dog jumping through black and white hoop
1662261486_db967930de,dog jumping through ring
2410562803_56ec09f41c,girl using laptop another girl and boy looking at cellphone
2410562803_56ec09f41c,group of people sit against building and use electronics
2410562803_56ec09f41c,three people sit near street
2410562803_56ec09f41c,three people sitting in front of store on bench
2410562803_56ec09f41c,three young people sit outside and engage with electronic devices
2469498117_b4543e1460,dog races while wearing number
2469498117_b4543e1460,greyhound wearing muzzle and number six on yellow jacket running on dog track
2469498117_b4543e1460,muzzle greyhound dog running on track
2469498117_b4543e1460,tan greyhound wearing gold shirt with number on it runs down track
2469498117_b4543e1460,muxzzled greyhound leaping in race with yellow jacket
69710415_5c2bfb1058,group of people stand at edge of cliff over ocean
69710415_5c2bfb1058,group of three boy scouts rest on bluff overlooking ocean
69710415_5c2bfb1058,three men stand on cliff overlooking lake
69710415_5c2bfb1058,three scouts on top of cliff overlooking ocean
69710415_5c2bfb1058,two men sitting on rock near ocean with another man standing nearby
3414734842_beb543f400,couple holding hands and another woman walking down wooded trail
3414734842_beb543f400,couple holding hands and woman standing beside them pose on tree lined dirt road
3414734842_beb543f400,three friends on stroll in forest
3414734842_beb543f400,three people stand on path through woods
3414734842_beb543f400,two women and man posing on rural path
3006217970_90b42e6b27,car sponsored by riwal smoking tires on wet road
3006217970_90b42e6b27,race car drives along track in rain
3006217970_90b42e6b27,racing car driving around wet track with headlights on
3006217970_90b42e6b27,small race car with advertising driving on rainy track
3006217970_90b42e6b27,sponsored race car driving with lights on wet raceway
2192411521_9c7e488c5e,bearded man wearing bandanna pointing finger whilst riding bicycle
2192411521_9c7e488c5e,man bicycles down street and points finger
2192411521_9c7e488c5e,man holds object with hand while riding bike down street
2192411521_9c7e488c5e,man with long hair riding bicycle gives peace sign
2192411521_9c7e488c5e,man in blue shirt and black cap riding bike down street flashing peace sign
3535879138_9281dc83d5,crowd of people waving red flags passing under bridge
3535879138_9281dc83d5,group of people walk down street carrying red flags
3535879138_9281dc83d5,large group of people walking down street some carrying flags or banners
3535879138_9281dc83d5,many people walking together on pavement near brick building with other people looking on
3535879138_9281dc83d5,many people walk in street
2685788323_ceab14534a,man in sunglasses gets ready to pull chair out to sit down for meal
2685788323_ceab14534a,man wearing sunglasses stands by table at cafe
2685788323_ceab14534a,man about to pull out chair and sit down at restaurant
2685788323_ceab14534a,man at eatery getting ready to sit down
2685788323_ceab14534a,large man grabs seat at restaurant
3465606652_f380a38050,boy holding racket standing in grass
3465606652_f380a38050,boy in purple shirt and blue jeans standing in grass holding round toy with handle
3465606652_f380a38050,boy playes with stringless racket in backyard
3465606652_f380a38050,boy walks through lawn
3465606652_f380a38050,child in purple clothing playing with toy inside yard with other toys and fence
2599131872_65789d86d5,two blond girls playing together
