image,caption
1000268201_693b08cb0e,child in pink dress climbing up set of stairs in entry way
1000268201_693b08cb0e,girl going into wooden building
1000268201_693b08cb0e,little girl climbing into wooden playhouse
1000268201_693b08cb0e,little girl climbing stairs to playhouse
1000268201_693b08cb0e,little girl in pink dress going into wooden cabin
1001773457_577c3a7d70,black dog and spotted dog fighting
1001773457_577c3a7d70,black dog and tricolored dog playing with each other on road
1001773457_577c3a7d70,black dog and white dog with brown spots staring at each other in street
1001773457_577c3a7d70,two dogs of different breeds looking at each other on road
1001773457_577c3a7d70,two dogs on pavement moving toward each other
1002674143_1b742ab4b8,little girl covered in paint sits in front of painted rainbow with hands in bowl
1002674143_1b742ab4b8,little girl sitting in front of large painted rainbow
1002674143_1b742ab4b8,small girl in grass plays with fingerpaints in front of white canvas with rainbow on it
1002674143_1b742ab4b8,there girl with pigtails sitting in front of rainbow painting
1002674143_1b742ab4b8,young girl with pigtails painting outside in grass
1003163366_44323f5815,man lays on bench while dog sits by him
1003163366_44323f5815,man lays on bench to which white dog also tied
1003163366_44323f5815,man sleeping on bench outside with white and black dog sitting next to him
1003163366_44323f5815,shirtless man lies on park bench with dog
1003163366_44323f5815,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615,man in orange hat starring at something
1007129816_e794419615,man wears orange hat and glasses
1007129816_e794419615,man with gauges and glasses wearing blitz hat
1007129816_e794419615,man with glasses wearing beer can crocheted hat
1007129816_e794419615,man with pierced ears wearing glasses and orange hat
1007320043_627395c3d8,child playing on rope net
1007320043_627395c3d8,little girl climbing on red roping
1007320043_627395c3d8,little girl in pink climbs rope bridge at park
1007320043_627395c3d8,small child grips onto red ropes at playground
1007320043_627395c3d8,small child climbs on red ropes on playground
1009434119_febe49276a,black and white dog running in grassy garden surrounded by white fence
1009434119_febe49276a,black and white dog running through grass
1009434119_febe49276a,boston terrier running in grass
1009434119_febe49276a,boston terrier running on lush green grass in front of white fence
1009434119_febe49276a,dog runs on green grass near wooden fence
1012212859_01547e3f17,dog shakes head near shore red ball next to it
1012212859_01547e3f17,white dog shakes on edge of beach with orange ball
1012212859_01547e3f17,dog with orange ball at feet stands on shore shaking off water
1012212859_01547e3f17,white dog playing with red ball on shore near water
1012212859_01547e3f17,white dog with brown ears standing near water with head turned to one side
1015118661_980735411b,boy smiles in front of stony wall in city
1015118661_980735411b,little boy standing on street while man in overalls working on stone wall
1015118661_980735411b,young boy runs aross street
1015118661_980735411b,young child walking on stone paved street with metal pole and man behind him
1015118661_980735411b,smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him
1015584366_dfcec3c85a,black dog leaps over log
1015584366_dfcec3c85a,grey dog leaping over fallen tree
